rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
42	spotify:track:5ra6CI0pEzqjxPEZeBz0d7	Hungria Hip Hop	Amor e Fé - Acústico	Hungria Hip Hop	17	42	154	316182	5ra6CI0pEzqjxPEZeBz0d7
43	spotify:track:3056x1XkmICnQmji68rrft	Murilo Huff, Henrique & Juliano	Desejando Eu (Ao Vivo)	Artinvox	21	43	248	315246	3056x1XkmICnQmji68rrft
44	spotify:track:6F7tttrdq7aUdxXVeo0nKp	Simone & Simaria	Foi Pá Pum	Universal Music Ltda.	41	45	59	310664	6F7tttrdq7aUdxXVeo0nKp
45	spotify:track:7lPN2DXiMsVn7XUKtOW1CS	Olivia Rodrigo	drivers license	Olivia Rodrigo PS	15	44	15	304249	7lPN2DXiMsVn7XUKtOW1CS
46	spotify:track:5TU6HG6Ltm7ZYr3r5dZjsA	Zé Vaqueiro	Eu Tenho Medo	Sony Music Entertainment	46	49	93	299340	5TU6HG6Ltm7ZYr3r5dZjsA
47	spotify:track:1GWUiFYLYEapxYHnASyOud	Wesley Safadão	Não Valeu	Som Livre	23	50	255	293554	1GWUiFYLYEapxYHnASyOud
48	spotify:track:4xWzZmX4K1yyrdtRfbUvjt	Niack	Oh Juliana	Niack	1	47	200	293142	4xWzZmX4K1yyrdtRfbUvjt
49	spotify:track:59kRq8rb5uJCrSYYbGCk7o	MC Rogerinho	Só Você	MC Rogerinho	3	46	168	290941	59kRq8rb5uJCrSYYbGCk7o
50	spotify:track:1sTVKLLFDfAfowsG4bRBN4	MC Teteu, MC Ks, Dj Serpinha	Faz a Pose	realdreamsgravadoraeeditora	41	48	70	282395	1sTVKLLFDfAfowsG4bRBN4
51	spotify:track:1JHvLQWHUoYuapwQikeDuD	Jonas Esticado, Gusttavo Lima	Ele Não Tem	Som Livre	39	51	83	265859	1JHvLQWHUoYuapwQikeDuD
52	spotify:track:4KLvGldnzUZU4xdELyWBom	Zé Neto & Cristiano	Barzinho Aleatório - Ao Vivo	Som Livre	7	52	416	260188	4KLvGldnzUZU4xdELyWBom
53	spotify:track:5NeBu4oKweDXIjhvYqtbLo	Tierry, Marília Mendonça	Hackearam-Me	WorkShow	53	53	71	259758	5NeBu4oKweDXIjhvYqtbLo
54	spotify:track:0N2cvvlyEw5NFc00E3FB0D	Dj Guuga, Mc Pierre	Cabaré	GR6 Music	54	57	227	245585	0N2cvvlyEw5NFc00E3FB0D
55	spotify:track:12v6LfkX9YIR3uLefIAAYZ	Mc Jacaré	Comprei um Lança	Mc Jacare / Los Pantchos	5	58	216	237335	12v6LfkX9YIR3uLefIAAYZ
56	spotify:track:3Xuo5utyzk86BwlUHdTR2O	Henrique & Juliano	Briga Feia - Ao Vivo	Virgin Music Label And Artist Services (S&D)	19	59	409	230836	3Xuo5utyzk86BwlUHdTR2O
57	spotify:track:4sCgnIAtZWlMfY7h4h8dI0	Gusttavo Lima	Super Ex - Ao Vivo	Sony Music Entertainment	34	54	3	229389	4sCgnIAtZWlMfY7h4h8dI0
58	spotify:track:2BRGOqLBHFJclDM6PB2dnd	Marília Mendonça	Deprê	Som Livre	51	60	52	222368	2BRGOqLBHFJclDM6PB2dnd
59	spotify:track:54OqGd3dmug64db0ZtOtF4	Japinha Conde	Romance Desapegado	Conde do Forró	39	61	138	221482	54OqGd3dmug64db0ZtOtF4
60	spotify:track:08Sd5vVcIH3uKeAiaJdoYj	Lauana Prado	Viva Voz - Ao Vivo Em São Paulo / 2019	Universal Music Ltda.	15	64	325	218707	08Sd5vVcIH3uKeAiaJdoYj
61	spotify:track:2enk2whIgJyoe0O9HRQZJV	Avine Vinny, Jorge	Seu Beijo Joga Sujo	Sony Music Entertainment	56	63	94	218044	2enk2whIgJyoe0O9HRQZJV
62	spotify:track:158ukl5rih76dOEsp0I91H	Jorge & Mateus	Paradigmas	Som Livre	52	56	3	217206	158ukl5rih76dOEsp0I91H
63	spotify:track:0VjIjW4GlUZAMYd2vXMi3b	The Weeknd	Blinding Lights	Republic Records	17	55	394	217199	0VjIjW4GlUZAMYd2vXMi3b
64	spotify:track:4DngRKOpRPrkbzImUB0zgh	Matheus & Kauan	Litrão - Ao Vivo Em Recife / 2020	Universal Music Ltda.	2	65	360	210507	4DngRKOpRPrkbzImUB0zgh
65	spotify:track:5XyDFMwY1NTIlkbzcfVyl3	O Boy da Seresta, Menor Nico	Nega Chegando	DL studio	65	69	30	209506	5XyDFMwY1NTIlkbzcfVyl3
66	spotify:track:28atBekPVlTdnU4M9Z7udd	Dilsinho, Luísa Sonza, Malibu	Não Vai Embora	Malibu Studios	23	62	262	209276	28atBekPVlTdnU4M9Z7udd
67	spotify:track:0RaIjuKU5hudMteEXwr4RS	Jorge & Mateus	Ranking	Som Livre	4	66	325	207285	0RaIjuKU5hudMteEXwr4RS
68	spotify:track:3J5Pu25BODMex4Jpy4l6FL	Luíza & Maurílio, Zé Neto & Cristiano	S de Saudade	Som Livre	6	67	451	203927	3J5Pu25BODMex4Jpy4l6FL
69	spotify:track:4Y0gR2tYML083T6b2vhJrn	Henrique & Juliano	Liberdade Provisória - Live - Ibirapuera / 2019	Virgin Music Label And Artist Services (S&D)	1	72	416	196355	4Y0gR2tYML083T6b2vhJrn
70	spotify:track:4dkMmfrNEIUMjoEIFHA2yy	Israell Muniz	Eu Vou Tirar Você Do Cabaré	Universal Music Ltda.	70	75	54	191473	4dkMmfrNEIUMjoEIFHA2yy
71	spotify:track:0in6Rc29qdyOkhKyYw4A84	Di Propósito	Manda Áudio	Sony Music Entertainment	45	71	217	190972	0in6Rc29qdyOkhKyYw4A84
72	spotify:track:7CDdyDigw7e3zFr3k7uKMY	Luíza & Maurílio	Pode Sumir	Som Livre	46	70	241	190639	7CDdyDigw7e3zFr3k7uKMY
73	spotify:track:2ASs0n7ukfyxAxDtdir4vF	MC Luan da BS, Mc Vitin do LJ, MC Marley	Privilégio	Funk Explode	73	73	48	187537	2ASs0n7ukfyxAxDtdir4vF
74	spotify:track:7benotyTvLY2vUsDKtxbiA	Gusttavo Lima	Café e Amor - Ao Vivo	Sony Music Entertainment	6	74	108	184469	7benotyTvLY2vUsDKtxbiA
75	spotify:track:2InUVOBY515umeuwdQtsQ4	Zé Neto & Cristiano	Esses Vícios	Som Livre	56	76	66	183873	2InUVOBY515umeuwdQtsQ4
76	spotify:track:7e1VoRlNumuEkXlITMHKLE	Anitta, Myke Towers, Cardi B	Me Gusta (with Cardi B & Myke Towers)	Warner Records	1	68	129	183499	7e1VoRlNumuEkXlITMHKLE
77	spotify:track:5LpLYzpV0HWKI2DlPmNywg	Wesley Safadão, Zé Neto & Cristiano	Despedida - Ao Vivo	Som Livre	15	79	297	181968	5LpLYzpV0HWKI2DlPmNywg
78	spotify:track:4zGtfOglDBfVUypabBwIjQ	Mc Zaac, Anitta, Tyga	Desce Pro Play (PA PA PA)	Universal Music Ltda.	1	77	213	178764	4zGtfOglDBfVUypabBwIjQ
79	spotify:track:4z1hlWTFVq9ftrcCxxvcwt	Eric Land, Wesley Safadão	Beijo das Galáxias	Eric Land	79	86	54	176436	4z1hlWTFVq9ftrcCxxvcwt
80	spotify:track:5GAdMAL3tRJkVN1HtwohK2	Mc Don Juan, Maiara & Maraisa	Vai Ter Que Aguentar	GR6 Music	6	80	238	175157	5GAdMAL3tRJkVN1HtwohK2
81	spotify:track:1WTJdd2atKxhUrbvUHjNDt	João Bosco & Vinicius, Matheus	Segunda Taça - Ao Vivo	João Bosco & Vinicius	19	81	339	174981	1WTJdd2atKxhUrbvUHjNDt
82	spotify:track:3tv697PZNnaQN0Mn2zGhS5	Gusttavo Lima	A Gente Fez Amor - Ao Vivo	Sony Music Entertainment	1	85	416	172387	3tv697PZNnaQN0Mn2zGhS5
83	spotify:track:1x0Uv7gDZfx6jhb4IN4DIx	Gusttavo Lima	Balada do Buteco - Ao Vivo	Sony Music Entertainment	42	78	17	169449	1x0Uv7gDZfx6jhb4IN4DIx
84	spotify:track:1wsL4Lgoo27ETnLt6svbnT	Mc Jacaré	Senta no Fazendeiro	Mc Jacare / Los Pantchos	84	89	63	169302	1wsL4Lgoo27ETnLt6svbnT
85	spotify:track:6niGCULksHzD0NHyX3zCuB	Marília Mendonça	Foi por Conveniência	Som Livre	76	84	10	168030	6niGCULksHzD0NHyX3zCuB
86	spotify:track:2ylAocQwOgzelMbW9KJL56	Zé Vaqueiro	Meia Noite	Sony Music Entertainment	86	91	57	164367	2ylAocQwOgzelMbW9KJL56
