,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
99,100,spotify:track:4Clmg1g8n2yBYG13Z1oSdG,"Dayvi, Victor Cardenas, Kelly Ruíz",Baila Conmigo (feat. Kelly Ruiz),Sony Music México,53,91,112,102434,4Clmg1g8n2yBYG13Z1oSdG,0.0,0.0,1.0,0.0
100,101,spotify:track:6mdU8glNHYdBBj5DuKSL1B,Gusttavo Lima,Perrengue - Ao Vivo,Sony Music Entertainment,15,134,201,101905,6mdU8glNHYdBBj5DuKSL1B,0.0,0.0,1.0,0.0
101,102,spotify:track:1qy7aOHnfnOMJoT1fhoLYG,"Marília Mendonça, Gaab",Intenção - Ao Vivo,Som Livre,37,110,250,100790,1qy7aOHnfnOMJoT1fhoLYG,0.9631,0.01,0.94,0.05
102,103,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,32,92,236,100663,21jGcNKet2qwijlDFuPiPb,0.9686,0.041,0.858,0.1
103,104,spotify:track:78qd8dvwea0Gosb6Fe6j3k,Doja Cat,Boss Bitch,Atlantic Records,96,96,16,100349,78qd8dvwea0Gosb6Fe6j3k,-0.9977,0.214,0.671,0.115
104,105,spotify:track:13Rf6RaZT13TW4xLQR3MQr,"Pineapple StormTv, MC Cabelinho, Bob do Contra, Azzy, Filipe Ret, Dudu, Xamã, Orochi, Maquiny, Salve Malak, Hunter",Poesia Acústica #6: Era uma Vez,Pineapple StormTV,14,98,483,99255,13Rf6RaZT13TW4xLQR3MQr,-0.9606,0.033,0.948,0.018
105,106,spotify:track:2b8fOow8UzyDFAE27YhOZM,Maroon 5,Memories,Interscope Records*,78,101,191,98641,2b8fOow8UzyDFAE27YhOZM,0.9833,0.095,0.745,0.16
106,107,spotify:track:696DnlkuDOXcMAnKlTgXXK,Arizona Zervas,ROXANNE,Arizona Zervas,70,94,149,98611,696DnlkuDOXcMAnKlTgXXK,0.9765,0.14,0.666,0.194
107,108,spotify:track:1fipvP2zmef6vN2IwXfJhY,"Sam Smith, Demi Lovato",I’m Ready (with Demi Lovato),Capitol,51,82,5,98012,1fipvP2zmef6vN2IwXfJhY,0.7786,0.089,0.818,0.093
108,109,spotify:track:5cN5ZOVcYBl4Lnq50Zeqsx,"Matheus & Kauan, Gusttavo Lima",Mágica - Live,Universal Music Ltda.,35,127,397,97827,5cN5ZOVcYBl4Lnq50Zeqsx,-0.5267,0.015,0.985,0.0
109,110,spotify:track:600Byp0tUwr2aDLm361rG1,Matheus & Kauan,Então Toma - Ao Vivo,Universal Music Ltda.,65,117,12,97267,600Byp0tUwr2aDLm361rG1,0.0,0.0,1.0,0.0
110,111,spotify:track:31yFXM26dazFnWI2eoOM5R,"MC G15, Mc Livinho",Ela Vem,GR6 Music,21,113,306,96711,31yFXM26dazFnWI2eoOM5R,-0.8299,0.032,0.968,0.0
111,112,spotify:track:4rnI4obabjGCPI2CCCs5VR,Felipe Araújo,Hoje Eu Beberei - Ao Vivo,Universal Music Ltda.,58,144,184,96423,4rnI4obabjGCPI2CCCs5VR,0.6476,0.0,0.951,0.049
112,113,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,Darkroom/Interscope Records,21,105,390,95733,2Fxmhks0bxGSBdJ92vM42m,-0.9962,0.255,0.659,0.086
113,114,spotify:track:3RbXsVQr4jeTxvT35Hssq3,Marília Mendonça,Bebi Liguei - Ao Vivo,Som Livre,2,126,493,95039,3RbXsVQr4jeTxvT35Hssq3,-0.8402,0.043,0.957,0.0
114,115,spotify:track:1qCLx3nX25NuhfPjM5E1qV,Melim,Ouvi Dizer,Universal Music Ltda.,10,119,641,94284,1qCLx3nX25NuhfPjM5E1qV,0.4939,0.0,0.985,0.015
115,116,spotify:track:2Yz14TQlxNXHmnkml4TyDL,Gabi Martins,Neném - Ao Vivo,Gabi Martins,40,104,32,93659,2Yz14TQlxNXHmnkml4TyDL,0.0,0.0,1.0,0.0
