Position	TrackName	Artist	Streams	URL	Id
152	Até A Próxima Vida - Ao Vivo	Henrique & Juliano	895716	https://open.spotify.com/track/130HVxaVe9EYcLJmuOR9Rw	130HVxaVe9EYcLJmuOR9Rw
153	Liberdade (Quando o Grave Bate Forte)	Alok	889273	https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG	2QLbRVzixE282JSQjBz2DG
154	good 4 u	Olivia Rodrigo	889155	https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG	4ZtFanR9U6ndgddUvNcjcG
155	Save Your Tears (with Ariana Grande) (Remix)	The Weeknd	888346	https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy	37BZB0z9T8Xu7U3e65qxFy
156	Gaiola - Ao Vivo	Henrique & Juliano	879659	https://open.spotify.com/track/258db74PFBueylrjM6ccvN	258db74PFBueylrjM6ccvN
157	Fragrância - Remix	MD Chefe	876167	https://open.spotify.com/track/76E9YSvgci2hPaNFy3XZu1	76E9YSvgci2hPaNFy3XZu1
158	Vou de Lala	MC Joãozinho VT	872944	https://open.spotify.com/track/6MQrN9fclpvR4nf0uJrG1x	6MQrN9fclpvR4nf0uJrG1x
159	Te Esqueci Valendo - Ao Vivo	Zé Ottávio	872314	https://open.spotify.com/track/3BPXSPCKbMe79zjnc6pJyk	3BPXSPCKbMe79zjnc6pJyk
160	Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo	Os Barões Da Pisadinha	871792	https://open.spotify.com/track/5UmwpS5SHeaKNCA7bGpJRe	5UmwpS5SHeaKNCA7bGpJRe
161	Quero Você do Jeito Que Quiser	Marília Mendonça	866402	https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI	64I6t2tuUGnIlaDIzHJ6YI
162	Passinho Debochado	Dan Ventura	863238	https://open.spotify.com/track/1tdDDOJRdbo1Uz47D1k62G	1tdDDOJRdbo1Uz47D1k62G
163	Cabeça Branca	Tierry	863110	https://open.spotify.com/track/5zswDNRhJSXuvhJXJGQTFK	5zswDNRhJSXuvhJXJGQTFK
164	Você Não Manda Em Mim	Marília Mendonça	861326	https://open.spotify.com/track/13hyExMFjdAQ6ZsgqLdpSS	13hyExMFjdAQ6ZsgqLdpSS
165	Bad Habits	Ed Sheeran	856551	https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d	3rmo8F54jFF8OgYsqTxm5d
166	Alô Ambev (Segue Sua Vida) - Ao Vivo	Zé Neto & Cristiano	844847	https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs	5m5aY6S9ttfIG157xli2Rs
167	Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo)	Turma do Pagode	843970	https://open.spotify.com/track/1N19UVD4GRBFT6UrDaX6rk	1N19UVD4GRBFT6UrDaX6rk
168	O Porte da 40	Mc Frog	839494	https://open.spotify.com/track/0wcAfve621R8p3sTQjjJXA	0wcAfve621R8p3sTQjjJXA
169	My Universe	Coldplay	832194	https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI	46HNZY1i7O6jwTA7Slo2PI
