,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
84,85,spotify:track:5MArTXEVyKBwoodjdy04fk,"Zé Felipe, Gusttavo Lima",Tiro Certo - Ao Vivo,Som Livre,20,97,52,846683,5MArTXEVyKBwoodjdy04fk,0.9081,0.0,0.954,0.046
85,86,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,Epic/Grand Hustle,42,91,16,845396,6gBFPUFcJLzWGx4lenP6h2,0.0,0.0,1.0,0.0
86,87,spotify:track:1U3tv41tFRgOfbytpuYQrR,Zé Neto & Cristiano,Ferida Curada,Som Livre,6,107,47,842377,1U3tv41tFRgOfbytpuYQrR,0.9682,0.0,0.91,0.09
87,88,spotify:track:5JKaHAt4atuNoLqpyDgbyK,"Pineapple StormTv, Froid, Xamã, Dk 47, Chris MC, Cynthia Luz, Luccas Carlos, Hunter",Poesia Acústica - Paris,Pineapple StormTV,88,100,12,826357,5JKaHAt4atuNoLqpyDgbyK,0.9917,0.006,0.947,0.047
88,89,spotify:track:22rcaYTa2UgcLCbeO0NoNj,"Priscilla Alcantara, Whindersson Nunes",Girassol,Sony Music Entertainment,9,102,26,815291,22rcaYTa2UgcLCbeO0NoNj,0.0,0.0,1.0,0.0
89,90,spotify:track:7Gk5OrMYaMRtT2JmgJVAfk,"ANAVITÓRIA, Vitor Kley",Pupila,Universal Music Ltda.,16,103,49,813869,7Gk5OrMYaMRtT2JmgJVAfk,-0.5349,0.007,0.993,0.0
90,91,spotify:track:3056x1XkmICnQmji68rrft,"Murilo Huff, Henrique & Juliano",Desejando Eu (Ao Vivo),Artinvox,91,117,3,812149,3056x1XkmICnQmji68rrft,0.0,0.0,1.0,0.0
91,92,spotify:track:7McCAKExE8KsI2q4Y8wx4U,"Murilo Huff, Marília Mendonça",Dois Enganados,Artinvox,49,113,54,809484,7McCAKExE8KsI2q4Y8wx4U,0.8225,0.017,0.937,0.046
92,93,spotify:track:2cWCwWJTozhsGxmvrJJaXn,"Recayd Mob, Dfideliz, MC Igu, Jé Santiago, Derek",Mlks de Sp,Recayd Mob,93,-1,1,808568,2cWCwWJTozhsGxmvrJJaXn,-0.9663,0.054,0.931,0.015
93,94,spotify:track:5FFpRbsH9WDYNoLauRAHpj,"MC Kevinho, Dadá Boladão, MC JottaPê",Paredão,WM Brazil,19,111,25,807603,5FFpRbsH9WDYNoLauRAHpj,-0.9581,0.059,0.941,0.0
94,95,spotify:track:13Rf6RaZT13TW4xLQR3MQr,"Pineapple StormTv, MC Cabelinho, Bob do Contra, Azzy, Filipe Ret, Dudu, Xamã, Orochi, Maquiny, Salve Malak, Hunter",Poesia Acústica #6: Era uma Vez,Pineapple StormTV,18,106,76,803678,13Rf6RaZT13TW4xLQR3MQr,-0.9606,0.033,0.948,0.018
