rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
78	spotify:track:5STHFaWYO1KeyITjvB4hR8	Marília Mendonça	Tentativas	Som Livre	20	84	68	122263	5STHFaWYO1KeyITjvB4hR8
79	spotify:track:6v3KW9xbzN5yKLt9YKDYA2	Shawn Mendes, Camila Cabello	Señorita	Island Records	2	77	306	119379	6v3KW9xbzN5yKLt9YKDYA2
80	spotify:track:4E6RdcCWMiHTu7zy1VTNDo	Marília Mendonça	Todo Mundo Vai Sofrer - Ao Vivo	Som Livre	1	90	341	119291	4E6RdcCWMiHTu7zy1VTNDo
81	spotify:track:2RMOwSvOGQyy985Vx4VSGQ	LUDMILLA, Topo La Maskara, Walshy Fire	Verdinha	WM Brazil	8	88	145	117638	2RMOwSvOGQyy985Vx4VSGQ
82	spotify:track:1G60NjxeOS7veR1EXuKPaW	Gustavo Mioto	Fake News - Ao Vivo Em São Paulo / 2019	Universal Music Ltda.	18	95	349	117439	1G60NjxeOS7veR1EXuKPaW
83	spotify:track:7k4t7uLgtOxPwTpFmtJNTY	KAROL G, Nicki Minaj	Tusa	TUSA - Karol G & Nicki Minaj	38	71	109	117152	7k4t7uLgtOxPwTpFmtJNTY
84	spotify:track:4RC2nzqaQygxoVQOVv3XlT	Leo Santana, Anitta	Contatinho - Ao Vivo	Universal Music Ltda.	5	89	229	116399	4RC2nzqaQygxoVQOVv3XlT
85	spotify:track:2qD7VoDYcrAPY0cVEfpsR5	Anitta, Marília Mendonça	Some que ele vem atrás	WM Brazil	2	100	175	115383	2qD7VoDYcrAPY0cVEfpsR5
86	spotify:track:7qEHsqek33rTcFNT9PFqLf	Lewis Capaldi	Someone You Loved	Vertigo Berlin	60	80	237	114810	7qEHsqek33rTcFNT9PFqLf
87	spotify:track:3MkdA6vwF0ifRl86yzTlJW	Matuê	Kenny G	Sony Music Entertainment	5	78	230	113982	3MkdA6vwF0ifRl86yzTlJW
88	spotify:track:4gDvg62vG96w0qJaF6wzcd	Diego & Victor Hugo, Zé Neto & Cristiano	A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília	Sony Music Entertainment	14	111	397	113812	4gDvg62vG96w0qJaF6wzcd
89	spotify:track:7Gk5OrMYaMRtT2JmgJVAfk	ANAVITÓRIA, Vitor Kley	Pupila	Universal Music Ltda.	14	76	292	113638	7Gk5OrMYaMRtT2JmgJVAfk
90	spotify:track:3rDAHk73LZmgJIyGZstWQ0	Pixote	Nem de Graça / Saudade Arregaça - Ao Vivo	GR Shows	51	109	236	113267	3rDAHk73LZmgJIyGZstWQ0
91	spotify:track:4Y7ay3naWoluoOM3xIj1UZ	LUDMILLA	A boba fui eu - Recorded At Mosh Studios, São Paulo	WM Brazil	68	93	35	111056	4Y7ay3naWoluoOM3xIj1UZ
92	spotify:track:7sYAS4CpbV90oSemgaEQat	Alok, Dynoro	On & On	Columbia/B1 Recordings	66	86	151	110533	7sYAS4CpbV90oSemgaEQat
93	spotify:track:1Cv1YLb4q0RzL6pybtaMLo	Surfaces	Sunday Best	Surfaces, LLC / TenThousand Projects, LLC	76	83	37	110006	1Cv1YLb4q0RzL6pybtaMLo
94	spotify:track:22rcaYTa2UgcLCbeO0NoNj	Priscilla Alcantara, Whindersson Nunes	Girassol	Sony Music Entertainment	5	79	132	109320	22rcaYTa2UgcLCbeO0NoNj
95	spotify:track:5dKesZwp6deuhEeW8F1UEi	Felipe Original, MC Kevin o Chris, Sodré, JS o Mão de Ouro	Hit Contagiante	Tudo Nosso Produtora	1	106	267	108499	5dKesZwp6deuhEeW8F1UEi
96	spotify:track:59WWulo1LM0njpIkcduCMn	Atitude 67	Tão Linda	Universal Music Ltda.	35	97	262	108168	59WWulo1LM0njpIkcduCMn
97	spotify:track:5U28PY9MekLyCBYtLHGQpe	Melim	Meu Abrigo	Universal Music Ltda.	1	99	698	105041	5U28PY9MekLyCBYtLHGQpe
98	spotify:track:7McCAKExE8KsI2q4Y8wx4U	Murilo Huff, Marília Mendonça	Dois Enganados	Artinvox	41	112	327	103145	7McCAKExE8KsI2q4Y8wx4U
99	spotify:track:4umIPjkehX1r7uhmGvXiSV	Justin Bieber, Quavo	Intentions (feat. Quavo)	RBMG/Def Jam	41	87	75	102683	4umIPjkehX1r7uhmGvXiSV
100	spotify:track:4Clmg1g8n2yBYG13Z1oSdG	Dayvi, Victor Cardenas, Kelly Ruíz	Baila Conmigo (feat. Kelly Ruiz)	Sony Music México	53	91	112	102434	4Clmg1g8n2yBYG13Z1oSdG
101	spotify:track:6mdU8glNHYdBBj5DuKSL1B	Gusttavo Lima	Perrengue - Ao Vivo	Sony Music Entertainment	15	134	201	101905	6mdU8glNHYdBBj5DuKSL1B
102	spotify:track:1qy7aOHnfnOMJoT1fhoLYG	Marília Mendonça, Gaab	Intenção - Ao Vivo	Som Livre	37	110	250	100790	1qy7aOHnfnOMJoT1fhoLYG
103	spotify:track:21jGcNKet2qwijlDFuPiPb	Post Malone	Circles	Republic Records	32	92	236	100663	21jGcNKet2qwijlDFuPiPb
104	spotify:track:78qd8dvwea0Gosb6Fe6j3k	Doja Cat	Boss Bitch	Atlantic Records	96	96	16	100349	78qd8dvwea0Gosb6Fe6j3k
105	spotify:track:13Rf6RaZT13TW4xLQR3MQr	Pineapple StormTv, MC Cabelinho, Bob do Contra, Azzy, Filipe Ret, Dudu, Xamã, Orochi, Maquiny, Salve Malak, Hunter	Poesia Acústica #6: Era uma Vez	Pineapple StormTV	14	98	483	99255	13Rf6RaZT13TW4xLQR3MQr
106	spotify:track:2b8fOow8UzyDFAE27YhOZM	Maroon 5	Memories	Interscope Records*	78	101	191	98641	2b8fOow8UzyDFAE27YhOZM
107	spotify:track:696DnlkuDOXcMAnKlTgXXK	Arizona Zervas	ROXANNE	Arizona Zervas	70	94	149	98611	696DnlkuDOXcMAnKlTgXXK
108	spotify:track:1fipvP2zmef6vN2IwXfJhY	Sam Smith, Demi Lovato	I’m Ready (with Demi Lovato)	Capitol	51	82	5	98012	1fipvP2zmef6vN2IwXfJhY
109	spotify:track:5cN5ZOVcYBl4Lnq50Zeqsx	Matheus & Kauan, Gusttavo Lima	Mágica - Live	Universal Music Ltda.	35	127	397	97827	5cN5ZOVcYBl4Lnq50Zeqsx
110	spotify:track:600Byp0tUwr2aDLm361rG1	Matheus & Kauan	Então Toma - Ao Vivo	Universal Music Ltda.	65	117	12	97267	600Byp0tUwr2aDLm361rG1
111	spotify:track:31yFXM26dazFnWI2eoOM5R	MC G15, Mc Livinho	Ela Vem	GR6 Music	21	113	306	96711	31yFXM26dazFnWI2eoOM5R
112	spotify:track:4rnI4obabjGCPI2CCCs5VR	Felipe Araújo	Hoje Eu Beberei - Ao Vivo	Universal Music Ltda.	58	144	184	96423	4rnI4obabjGCPI2CCCs5VR
