rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
164	spotify:track:2pkiYFWrja3oTlTwDaTypd	Jovem Dex, Neves, Hash Produções	Rockstar	Hash Produções	164	-1	1	508098	2pkiYFWrja3oTlTwDaTypd
165	spotify:track:1EQ8sBQ7Abv9DvNBzhXAcv	Nando Reis, Ana Cañas	Pra Você Guardei O Amor	Universal Music Ltda.	121	171	44	502130	1EQ8sBQ7Abv9DvNBzhXAcv
166	spotify:track:2dmGj5Nf01FcR6N4HPzAbL	Yasmin Santos	Saudade Nível Hard	Sony Music Entertainment	7	165	46	491214	2dmGj5Nf01FcR6N4HPzAbL
167	spotify:track:50YbE5MrvSu8Fz6A2dgTZ8	Zé Neto & Cristiano	Bebida Na Ferida - Ao Vivo	Som Livre	25	161	58	488965	50YbE5MrvSu8Fz6A2dgTZ8
168	spotify:track:5p7ujcrUXASCNwRaWNHR1C	Halsey	Without Me	Capitol Records	93	177	38	487034	5p7ujcrUXASCNwRaWNHR1C
169	spotify:track:4pUCKHjJ4Ijewc37rRrvHn	BLACKPINK	Kill This Love	YG Entertainment, distributed through Interscope Records	29	178	12	484900	4pUCKHjJ4Ijewc37rRrvHn
170	spotify:track:3mOTImYvsTNYV72s66e2pc	Mc Don Juan, MC Hariel	Sai Pra Lá	GR6 Music	167	167	3	484261	3mOTImYvsTNYV72s66e2pc
171	spotify:track:6fxVffaTuwjgEk5h9QyRjy	Ed Sheeran	Photograph	Atlantic Records UK	65	176	101	483230	6fxVffaTuwjgEk5h9QyRjy
172	spotify:track:1YUWhlQjFv7MQpcbb77zTL	Pineapple StormTv, Sant, Tiago Mac, Lord ADL, Maria, Choice, Salve Malak	Poesia Acústica #3: Capricorniana	Pineapple StormTV	77	180	84	478901	1YUWhlQjFv7MQpcbb77zTL
173	spotify:track:0h9xMQP3ctuibd4Ce2037O	Péricles	Supera - Ao Vivo	Farias Produções	173	-1	1	478354	0h9xMQP3ctuibd4Ce2037O
174	spotify:track:6J8UJNZrIwvcpsWHvSkwXn	Matuê	Anos Luz	30praum	67	181	50	475053	6J8UJNZrIwvcpsWHvSkwXn
175	spotify:track:46bW6erFBPbpGUTzxu5269	Dilsinho	Controle Remoto (Ao Vivo)	Sony Music Entertainment	159	172	10	474503	46bW6erFBPbpGUTzxu5269
176	spotify:track:05CwHjIk71RXVU40boRMnR	The Chainsmokers, Bebe Rexha	Call You Mine	Disruptor Records/Columbia	176	200	4	473852	05CwHjIk71RXVU40boRMnR
177	spotify:track:1zB4vmk8tFRmM9UULNzbLB	Imagine Dragons	Thunder	Kid Ina Korner / Interscope	29	186	113	473386	1zB4vmk8tFRmM9UULNzbLB
